MSOA code,MSOA name,Local authority code,Local authority name,Region code,Region name,Net annual income after housing costs (£),Upper confidence limit (£),Lower confidence limit (£),Confidence interval (£),Net Income
E02000714,Newham 001,E09000025,Newham,E12000007,London," 25,800 "," 29,000 "," 22,900 "," 6,100 "," 25,950 "
E02000715,Newham 002,E09000025,Newham,E12000007,London," 20,300 "," 23,000 "," 17,900 "," 5,100 "," 20,450 "
E02000716,Newham 003,E09000025,Newham,E12000007,London," 25,900 "," 29,400 "," 22,800 "," 6,600 "," 26,100 "
E02000717,Newham 004,E09000025,Newham,E12000007,London," 20,200 "," 22,900 "," 17,800 "," 5,100 "," 20,350 "
E02000718,Newham 005,E09000025,Newham,E12000007,London," 19,900 "," 22,600 "," 17,600 "," 5,000 "," 20,100 "
E02000719,Newham 006,E09000025,Newham,E12000007,London," 25,300 "," 28,600 "," 22,400 "," 6,200 "," 25,500 "
E02000720,Newham 007,E09000025,Newham,E12000007,London," 23,700 "," 26,700 "," 21,000 "," 5,700 "," 23,850 "
E02000721,Newham 008,E09000025,Newham,E12000007,London," 21,700 "," 24,600 "," 19,200 "," 5,400 "," 21,900 "
E02000722,Newham 009,E09000025,Newham,E12000007,London," 24,700 "," 27,900 "," 21,900 "," 6,000 "," 24,900 "
E02000723,Newham 010,E09000025,Newham,E12000007,London," 21,700 "," 24,500 "," 19,200 "," 5,300 "," 21,850 "
E02000724,Newham 011,E09000025,Newham,E12000007,London," 20,300 "," 23,000 "," 17,900 "," 5,100 "," 20,450 "
E02000725,Newham 012,E09000025,Newham,E12000007,London," 25,700 "," 29,100 "," 22,800 "," 6,300 "," 25,950 "
E02000726,Newham 013,E09000025,Newham,E12000007,London," 39,900 "," 47,300 "," 33,600 "," 13,700 "," 40,450 "
E02000727,Newham 014,E09000025,Newham,E12000007,London," 20,000 "," 22,800 "," 17,600 "," 5,200 "," 20,200 "
E02000728,Newham 015,E09000025,Newham,E12000007,London," 22,600 "," 25,700 "," 19,900 "," 5,800 "," 22,800 "
E02000729,Newham 016,E09000025,Newham,E12000007,London," 23,000 "," 26,000 "," 20,400 "," 5,600 "," 23,200 "
E02000730,Newham 017,E09000025,Newham,E12000007,London," 20,300 "," 22,900 "," 17,900 "," 5,000 "," 20,400 "
E02000731,Newham 018,E09000025,Newham,E12000007,London," 20,900 "," 23,700 "," 18,400 "," 5,300 "," 21,050 "
E02000732,Newham 019,E09000025,Newham,E12000007,London," 20,900 "," 23,700 "," 18,400 "," 5,300 "," 21,050 "
E02000733,Newham 020,E09000025,Newham,E12000007,London," 22,300 "," 25,200 "," 19,700 "," 5,500 "," 22,450 "
E02000734,Newham 021,E09000025,Newham,E12000007,London," 21,300 "," 24,100 "," 18,900 "," 5,200 "," 21,500 "
E02000735,Newham 022,E09000025,Newham,E12000007,London," 21,500 "," 24,300 "," 19,000 "," 5,300 "," 21,650 "
E02000736,Newham 023,E09000025,Newham,E12000007,London," 20,800 "," 23,600 "," 18,300 "," 5,300 "," 20,950 "
E02000737,Newham 024,E09000025,Newham,E12000007,London," 22,400 "," 25,300 "," 19,800 "," 5,500 "," 22,550 "
E02000738,Newham 025,E09000025,Newham,E12000007,London," 25,100 "," 28,400 "," 22,200 "," 6,200 "," 25,300 "
E02000739,Newham 026,E09000025,Newham,E12000007,London," 23,500 "," 26,600 "," 20,800 "," 5,800 "," 23,700 "
E02000740,Newham 027,E09000025,Newham,E12000007,London," 22,100 "," 25,000 "," 19,500 "," 5,500 "," 22,250 "
E02000741,Newham 028,E09000025,Newham,E12000007,London," 24,800 "," 28,100 "," 21,900 "," 6,200 "," 25,000 "
E02000742,Newham 029,E09000025,Newham,E12000007,London," 22,200 "," 25,100 "," 19,600 "," 5,500 "," 22,350 "
E02000743,Newham 030,E09000025,Newham,E12000007,London," 21,100 "," 24,000 "," 18,600 "," 5,400 "," 21,300 "
E02000744,Newham 031,E09000025,Newham,E12000007,London," 22,800 "," 25,700 "," 20,200 "," 5,500 "," 22,950 "
E02000745,Newham 032,E09000025,Newham,E12000007,London," 23,800 "," 26,900 "," 21,100 "," 5,800 "," 24,000 "
E02000746,Newham 033,E09000025,Newham,E12000007,London," 24,400 "," 27,800 "," 21,500 "," 6,300 "," 24,650 "
E02000747,Newham 034,E09000025,Newham,E12000007,London," 28,000 "," 31,700 "," 24,600 "," 7,100 "," 28,150 "
E02000748,Newham 035,E09000025,Newham,E12000007,London," 23,800 "," 26,800 "," 21,100 "," 5,700 "," 23,950 "
E02000749,Newham 036,E09000025,Newham,E12000007,London," 22,900 "," 25,700 "," 20,400 "," 5,300 "," 23,050 "
E02000750,Newham 037,E09000025,Newham,E12000007,London," 34,300 "," 39,300 "," 29,900 "," 9,400 "," 34,600 "
E02000313,Greenwich 001,E09000011,Greenwich,E12000007,London," 23,800 "," 27,000 "," 21,000 "," 6,000 "," 24,000 "
E02000314,Greenwich 002,E09000011,Greenwich,E12000007,London," 27,300 "," 30,700 "," 24,200 "," 6,500 "," 27,450 "
E02000315,Greenwich 003,E09000011,Greenwich,E12000007,London," 22,800 "," 25,700 "," 20,200 "," 5,500 "," 22,950 "
E02000316,Greenwich 004,E09000011,Greenwich,E12000007,London," 29,900 "," 33,600 "," 26,500 "," 7,100 "," 30,050 "
E02000317,Greenwich 005,E09000011,Greenwich,E12000007,London," 24,700 "," 27,900 "," 21,900 "," 6,000 "," 24,900 "
E02000318,Greenwich 006,E09000011,Greenwich,E12000007,London," 24,100 "," 27,200 "," 21,400 "," 5,800 "," 24,300 "
E02000319,Greenwich 007,E09000011,Greenwich,E12000007,London," 26,600 "," 29,900 "," 23,600 "," 6,300 "," 26,750 "
E02000320,Greenwich 008,E09000011,Greenwich,E12000007,London," 30,100 "," 34,100 "," 26,600 "," 7,500 "," 30,350 "
E02000321,Greenwich 009,E09000011,Greenwich,E12000007,London," 21,800 "," 24,600 "," 19,300 "," 5,300 "," 21,950 "
E02000323,Greenwich 011,E09000011,Greenwich,E12000007,London," 24,800 "," 27,900 "," 22,000 "," 5,900 "," 24,950 "
E02000324,Greenwich 012,E09000011,Greenwich,E12000007,London," 28,200 "," 31,800 "," 25,000 "," 6,800 "," 28,400 "
E02000326,Greenwich 014,E09000011,Greenwich,E12000007,London," 35,400 "," 39,700 "," 31,500 "," 8,200 "," 35,600 "
E02000327,Greenwich 015,E09000011,Greenwich,E12000007,London," 23,600 "," 26,800 "," 20,700 "," 6,100 "," 23,750 "
E02000328,Greenwich 016,E09000011,Greenwich,E12000007,London," 42,300 "," 48,300 "," 37,200 "," 11,100 "," 42,750 "
E02000329,Greenwich 017,E09000011,Greenwich,E12000007,London," 27,900 "," 31,400 "," 24,800 "," 6,600 "," 28,100 "
E02000331,Greenwich 019,E09000011,Greenwich,E12000007,London," 29,700 "," 33,400 "," 26,300 "," 7,100 "," 29,850 "
E02000332,Greenwich 020,E09000011,Greenwich,E12000007,London," 37,100 "," 42,000 "," 32,700 "," 9,300 "," 37,350 "
E02000333,Greenwich 021,E09000011,Greenwich,E12000007,London," 44,000 "," 49,800 "," 39,000 "," 10,800 "," 44,400 "
E02000334,Greenwich 022,E09000011,Greenwich,E12000007,London," 30,700 "," 34,600 "," 27,300 "," 7,300 "," 30,950 "
E02000335,Greenwich 023,E09000011,Greenwich,E12000007,London," 36,200 "," 40,900 "," 32,100 "," 8,800 "," 36,500 "
E02000337,Greenwich 025,E09000011,Greenwich,E12000007,London," 27,300 "," 30,900 "," 24,200 "," 6,700 "," 27,550 "
E02000339,Greenwich 027,E09000011,Greenwich,E12000007,London," 37,400 "," 42,400 "," 32,900 "," 9,500 "," 37,650 "
E02000340,Greenwich 028,E09000011,Greenwich,E12000007,London," 36,400 "," 41,000 "," 32,300 "," 8,700 "," 36,650 "
E02000341,Greenwich 029,E09000011,Greenwich,E12000007,London," 25,000 "," 28,200 "," 22,100 "," 6,100 "," 25,150 "
E02000342,Greenwich 030,E09000011,Greenwich,E12000007,London," 27,900 "," 31,600 "," 24,600 "," 7,000 "," 28,100 "
E02000343,Greenwich 031,E09000011,Greenwich,E12000007,London," 30,800 "," 34,700 "," 27,300 "," 7,400 "," 31,000 "
E02000344,Greenwich 032,E09000011,Greenwich,E12000007,London," 35,400 "," 39,800 "," 31,400 "," 8,400 "," 35,600 "
E02006786,Greenwich 033,E09000011,Greenwich,E12000007,London," 26,700 "," 30,100 "," 23,700 "," 6,400 "," 26,900 "
E02006927,Greenwich 034,E09000011,Greenwich,E12000007,London," 31,400 "," 35,600 "," 27,700 "," 7,900 "," 31,650 "
E02006928,Greenwich 035,E09000011,Greenwich,E12000007,London," 31,000 "," 35,400 "," 27,100 "," 8,300 "," 31,250 "
E02006929,Greenwich 036,E09000011,Greenwich,E12000007,London," 30,600 "," 35,100 "," 26,700 "," 8,400 "," 30,900 "
E02006930,Greenwich 037,E09000011,Greenwich,E12000007,London," 33,400 "," 38,100 "," 29,200 "," 8,900 "," 33,650 "
E02006931,Greenwich 038,E09000011,Greenwich,E12000007,London," 32,300 "," 36,800 "," 28,300 "," 8,500 "," 32,550 "
